# Aztec_1100
# energy
# AzTEC-1.1mm
#         Lambda    Transmission
        9653199.0000            0.355972
        9668282.0000            0.395127
        9683412.0000            0.429066
        9698590.0000            0.454481
        9713815.0000            0.467035
        9729088.0000            0.476799
        9744410.0000            0.484471
        9759780.0000            0.489398
        9775198.0000            0.501904
        9790665.0000            0.521664
        9806181.0000            0.537767
        9821746.0000            0.551139
        9837361.0000            0.557810
        9853026.0000            0.550294
        9868740.0000            0.539981
        9884505.0000            0.532898
        9900321.0000            0.535067
        9916186.0000            0.555267
        9932103.0000            0.587842
        9948071.0000            0.633261
        9964090.0000            0.681382
        9980162.0000            0.721435
        9996285.0000            0.758577
       10012460.0000            0.785195
       10028688.0000            0.799691
       10044968.0000            0.811789
       10061301.0000            0.816384
       10077688.0000            0.814322
       10094128.0000            0.814423
       10110621.0000            0.819704
       10127169.0000            0.831863
       10143771.0000            0.844895
       10160427.0000            0.855438
       10177139.0000            0.853661
       10193905.0000            0.835425
       10210727.0000            0.816404
       10227604.0000            0.801145
       10244537.0000            0.794575
       10261526.0000            0.803406
       10278572.0000            0.820133
       10295674.0000            0.840373
       10312834.0000            0.858922
       10330050.0000            0.875140
       10347325.0000            0.886531
       10364657.0000            0.890946
       10382048.0000            0.899635
       10399496.0000            0.911851
       10417004.0000            0.926032
       10434570.0000            0.948281
       10452196.0000            0.968720
       10469882.0000            0.979625
       10487628.0000            0.985170
       10505433.0000            0.975219
       10523300.0000            0.949098
       10541227.0000            0.913602
       10559215.0000            0.871307
       10577266.0000            0.839345
       10595377.0000            0.827188
       10613551.0000            0.827788
       10631787.0000            0.836332
       10650086.0000            0.837962
       10668449.0000            0.820814
       10686875.0000            0.795801
       10705364.0000            0.768008
       10723917.0000            0.742073
       10742535.0000            0.732843
       10761218.0000            0.739258
       10779965.0000            0.750682
       10798779.0000            0.767042
       10817658.0000            0.772765
       10836603.0000            0.760263
       10855614.0000            0.745122
       10874693.0000            0.727745
       10893838.0000            0.717223
       10913052.0000            0.722481
       10932333.0000            0.732718
       10951682.0000            0.752696
       10971100.0000            0.781746
       10990586.0000            0.812004
       11010143.0000            0.850251
       11029769.0000            0.889016
       11049465.0000            0.920476
       11069231.0000            0.951066
       11089069.0000            0.976074
       11108977.0000            0.990379
       11128957.0000            1.000000
       11149010.0000            0.996675
       11169134.0000            0.974669
       11189331.0000            0.940126
       11209602.0000            0.896259
       11229946.0000            0.847822
       11250364.0000            0.804078
       11270857.0000            0.770937
       11291424.0000            0.742979
       11312066.0000            0.721277
       11332784.0000            0.703544
       11353578.0000            0.684081
       11374449.0000            0.666735
       11395397.0000            0.650149
       11416421.0000            0.634040
       11437524.0000            0.622438
       11458704.0000            0.611214
       11479963.0000            0.605217
       11501302.0000            0.605501
       11522719.0000            0.606206
       11544217.0000            0.614517
       11565795.0000            0.626708
       11587454.0000            0.635967
       11609194.0000            0.646087
       11631016.0000            0.650620
       11652920.0000            0.648576
       11674906.0000            0.646101
       11696976.0000            0.638313
       11719129.0000            0.629312
       11741367.0000            0.618440
       11763689.0000            0.604150
       11786096.0000            0.596256
       11808588.0000            0.593470
       11831167.0000            0.601672
       11853832.0000            0.619910
       11876584.0000            0.628857
       11899424.0000            0.624678
       11922351.0000            0.607359
       11945367.0000            0.583416
       11968472.0000            0.574950
       11991667.0000            0.593375
       12014952.0000            0.631741
       12038328.0000            0.675627
       12061794.0000            0.706069
       12085352.0000            0.709904
       12109002.0000            0.690456
       12132745.0000            0.661391
       12156582.0000            0.632176
       12180513.0000            0.608724
       12204537.0000            0.588635
       12228657.0000            0.566706
       12252872.0000            0.545281
       12277183.0000            0.517051
       12301591.0000            0.475436
       12326096.0000            0.418290
       12350699.0000            0.345375
       12375401.0000            0.267083
       12400201.0000            0.198648
       12425101.0000            0.145528
       12450101.0000            0.107250
       12475202.0000            0.081375
       12500405.0000            0.060250
       12525709.0000            0.041722
       12551116.0000            0.026985
       12576626.0000            0.014809
       12602241.0000            0.004612
